AC,LOCATION,PART_REQUEST,PART_REQUEST_STATUS,PRIORITY_CD,PART_NO,TASK_BARCODE,TASK_NAME,TASK_STATUS,WP_BARCODE,WP_NAME,WP_STATUS,WORK_TYPE_CD
CC-BAR,BOG/LINE-4C,R2HHLN007RTDG,PROPEN,NORMAL,E28180-20-0001,T00CBW8F,MOC#261483 G/I PBE CABIN PRE-FLIGHT IS NOT SUCCESSFULL,ACTV,T00CBP6E,WP-LM-CC-BAR09AUG17-00,IN WORK,LINE
CC-BBC,SCL/LH,R2HHLN007S19W,PROPEN,NORMAL,ASNC020002A0101,T00AV89A,HIT LIST HI 2.0 N2 REQ: LOWER COMPARTMENTS IN LAV 1A-1R & 3F-1R DAMAGE,PAUSE,T00CAUP6,WP-LM-CC-BBC10AUG17-POST CAMBIO DE MOTOR,IN WORK,LINE
CC-BBC,SCL/LH,R2HHLN007RYFN,PROPEN,NORMAL,1016143-025FE11,T00C66RK,HIT LIST HI 2.0 B787-8 N2 REQ: DRESS COVER: BACK FWD 13H 15H, 19H, 21H, 23H, 25H, 35H, 19D, 21D, 29C, 35D STAIN,ACTV,T00CAUP6,WP-LM-CC-BBC10AUG17-POST CAMBIO DE MOTOR,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L5,PROPEN,NORMAL,G02443,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8KZ,PROPEN,NORMAL,G02444,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L1,PROPEN,NORMAL,G02447,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8KV,PROPEN,NORMAL,SC-1074B-1,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L0,PROPEN,NORMAL,SCOTCH BRAND NO.471,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LL,PROPEN,NORMAL,D50211,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007NHXF,PROPEN,NORMAL,G02429,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007NGSJ,PROPEN,NORMAL,G02429,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L4,PROPEN,NORMAL,G00111,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8KP,PROPEN,NORMAL,BMS10-118,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8KB,PROPEN,NORMAL,BMS3-32-TYPE-I,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007Q74E,PROPEN,NORMAL,33CTG,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LV,PROPEN,NORMAL,BMS11-9,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007QJ26,PROPEN,NORMAL,PP-XL,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L3,PROPEN,NORMAL,6203-100,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L9,PROPEN,NORMAL,FLASHBREAKER-1R-1,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L7,PROPEN,NORMAL,SC-1090,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LA,PROPEN,NORMAL,BMS3-42,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LP,PROPEN,NORMAL,G51215,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RT98,PRONORDER,NORMAL,720Z3431-307,T00CBW93,Grd. Item: Right Engine Upper Fwd Bumper missing and bolt cut at RH Halve Thrust Reverser.,PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RSE0,PRONORDER,NORMAL,BACB30PN14-22M,T00CBUAZ,AFT AND FWD MOUNT BOLTS WITH DAMAGE, IS NECESARY REPLACE THEM,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RSEA,PRPOREQ,AOG,BACB30US18-38M,T00CBUAZ,AFT AND FWD MOUNT BOLTS WITH DAMAGE, IS NECESARY REPLACE THEM,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RNRN,PRONORDER,NORMAL,275B0504-6,T00CBKC4,ENGINE LH, AFT CENTERBODY,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RNRF,PRONORDER,NORMAL,NAS1149E0532R,T00CBKC4,ENGINE LH, AFT CENTERBODY,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R31N,PRONORDER,NORMAL,ACVR000001A0024,T00CA5EE,G/I WAS REMOVED AXE COVER IN HELP CC-BBH  P/N: ACVR000001A0024,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RA8S,PROPEN,NORMAL,PS 890 C 168 PT KIT,T00C948S,G/I: During lubrication of the R Elevator was found Elevator Attach Fitting of the OUTBD PCU broken,PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007QLZ8,PRONORDER,NORMAL,323Z2000-1040,T00C948S,G/I: During lubrication of the R Elevator was found Elevator Attach Fitting of the OUTBD PCU broken,PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007S0YU,PROPEN,NORMAL,PHCR58CDBACN,T00C948S,G/I: During lubrication of the R Elevator was found Elevator Attach Fitting of the OUTBD PCU broken,PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007QXC6,PRONORDER,NORMAL,C513202-511,T00C9RUW,IN HELP OF A/C CC-BBF, ROBBERY WAS PERFORMED IN ACCORDANCE WITH PROCEDURE SSC-CAL-0084,PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RSFS,PRONORDER,NORMAL,315Z7206-2,T00CBU8E,GRD ITEM ACCESS PANEL 345FB WITH TRAILING EDGE SEAL DAMAGES,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007QM9V,PRONORDER,NORMAL,315Z7206-2,T00C9AEQ,G/I:DURING LUBRICATION WAS FOUND RIGHT HORIZONTAL STABILIZER FIXED TRAILING EDGE LOWER SEAL DAMAGED,PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00Z,PROPEN,NORMAL,57880,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00Q,PROPEN,NORMAL,BIOBOR-JF,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01H,PROPEN,NORMAL,BMS8-343 TYPE III CLASS 1,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01U,PROPEN,NORMAL,BMS3-33,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R019,PROPEN,NORMAL,KATHON-FP1.5,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00R,PROPEN,NORMAL,BMS10-103,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00V,PROPEN,NORMAL,G00018,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R015,PROPEN,NORMAL,G00087,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00W,PROPEN,NORMAL,G02219,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01D,PROPEN,NORMAL,G02443,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01F,PROPEN,NORMAL,G02443,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01T,PROPEN,NORMAL,G02444,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00F,PROPEN,NORMAL,G02447,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R025,PROPEN,NORMAL,SC-1074B-1,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00U,PROPEN,NORMAL,SCOTCH BRAND NO.471,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01E,PROPEN,NORMAL,G01048,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R018,PROPEN,NORMAL,D50185,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01N,PROPEN,NORMAL,D50211,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01R,PROPEN,NORMAL,G50512,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01M,PROPEN,NORMAL,G00111,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R012,PROPEN,NORMAL,G50134,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R024,PROPEN,NORMAL,BMS10-118,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01V,PROPEN,NORMAL,PR-1776M-B2,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R0H7,PROPEN,NORMAL,BMS3-32-TYPE-I,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R8GT,PROPEN,NORMAL,BMS3-32-TYPE-I,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01G,PROPEN,NORMAL,BMS11-9,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R020,PROPEN,NORMAL,6203-100,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01K,PROPEN,NORMAL,FLASHBREAKER-1R-1,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R029,PROPEN,NORMAL,SC-1090,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00K,PROPEN,NORMAL,BMS3-42,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
