AC,LOCATION,PART_REQUEST,PART_REQUEST_STATUS,PRIORITY_CD,PART_NO,TASK_BARCODE,TASK_NAME,TASK_STATUS,WP_BARCODE,WP_NAME,WP_STATUS,WORK_TYPE_CD
CC-BBE,SCL/LH,R2HHLN007R02A,PROPEN,NORMAL,G51215,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007P89S,PROPEN,NORMAL,7001290H01,T00C6HQN,THE PN 7001290H01, SN AAGF000186, DESCRIPTION RPDU 74, WAS ROBBED OF THE A/C CC-BBE IN ACCORDANCE WITH PROCEDURE SSC-CAL-0084,,PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007NS33,PRONORDER,NORMAL,AS1895-7-200,T00BX1R4,72-00-ENG-INST (ENGINE INSTALLATION),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007K0Z0,PROPEN,NORMAL,STD-748,T00BX1R4,72-00-ENG-INST (ENGINE INSTALLATION),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R11T,PROPEN,NORMAL,D50027,T00C8KZF,ENGINE - PRESERVING,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007QJ8N,PROPEN,NORMAL,D50026,T00C8KZF,ENGINE - PRESERVING,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007NP1U,PROPEN,NORMAL,3M-471,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RL5T,PROPEN,NORMAL,440-1,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RRJX,PROPEN,NORMAL,471-2" ROJA,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007QJ1S,PROPEN,NORMAL,471-2" ROJA,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007PNXX,PROPEN,NORMAL,471-2" ROJA,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007PQX7,PROPEN,NORMAL,471-2" ROJA,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007PR3T,PROPEN,NORMAL,BIOBOR-JF,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LM,PROPEN,NORMAL,BMS8-343 TYPE III CLASS 1,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LN,PROPEN,NORMAL,BMS3-38,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8KT,PROPEN,NORMAL,BMS10-103,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LS,PROPEN,NORMAL,G00018,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L8,PROPEN,NORMAL,G00087,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8KL,PROPEN,NORMAL,G02219,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8M0,PROPEN,NORMAL,G02443,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBG,SCL/LH,R2HHLN007MG0V,PROPEN,NORMAL,D50115,T00C2J5E,MD-T-1000-72-A3279 (JIC) (HP TURBINE SYSTEM - SPECIAL DETALIED INSPECTION (WITH BORESCOPE)),IN WORK,T00CAH3U,WP-LM-BBG10AUG17-BSI ENG 2 (TURNO AM),IN WORK,LINE
CC-BBG,SCL/LH,R2HHLN007MT28,PROPEN,NORMAL,A50267,T00C2J5E,MD-T-1000-72-A3279 (JIC) (HP TURBINE SYSTEM - SPECIAL DETALIED INSPECTION (WITH BORESCOPE)),IN WORK,T00CAH3U,WP-LM-BBG10AUG17-BSI ENG 2 (TURNO AM),IN WORK,LINE
CC-BBG,SCL/LH,R2HHLN007S0SC,PROPEN,NORMAL,464Z4620-1032,T00CBGV9,MOC # 261259 G/I AFTER HANDLING SYSTEM CONTROL PANEL AFTER DOOR WITH ONE LATCH BROKEN,ACTV,T00CAH3U,WP-LM-BBG10AUG17-BSI ENG 2 (TURNO AM),IN WORK,LINE
CC-BBJ,SCL/LH,R2HHLN007NRXS,PROPEN,NORMAL,COR-BAN 27L,T00BT655,[MOC REQUEST] AHM ANTI-ICE CAC INLET RH,ACTV,T00CALDY,WP-LM-CC-BBJ10AUG17-01,IN WORK,LINE
CC-BBJ,SCL/LH,R2HHLN007HFUX,PROPEN,NORMAL,PR 1826 B1/2 655SK,T00BT655,[MOC REQUEST] AHM ANTI-ICE CAC INLET RH,ACTV,T00CALDY,WP-LM-CC-BBJ10AUG17-01,IN WORK,LINE
CC-BBJ,SCL/LH,R2HHLN007HFPL,PROPEN,NORMAL,491Z4991-26,T00BT655,[MOC REQUEST] AHM ANTI-ICE CAC INLET RH,ACTV,T00CALDY,WP-LM-CC-BBJ10AUG17-01,IN WORK,LINE
CC-BFA,MOT-WS10,R2HHLN007MXSU,PRAWAITISSUE,NORMAL,MIL-L-6085,T00C0C2G,OT-72-0267-00(JIC-PRESERVATION) (PRESERVATION FOR A PERIOD OF 30 TO 365 DAYS - OPERABLE ENGINES INSTALLED ON SHIPPING STANDS (CFM56-5B ENGINE SERIES)),COMPLETE,T00C0B0Q,ESN-645628-INCOMING-FROM-CC-BFA-FOR-SALE-05-JUN-2017,IN WORK,OFFW_ENG
CC-BFA,MOT-WS10,R2HHLN007M86W,PRAWAITISSUE,NORMAL,MIL-L-6085,T00C0C2G,OT-72-0267-00(JIC-PRESERVATION) (PRESERVATION FOR A PERIOD OF 30 TO 365 DAYS - OPERABLE ENGINES INSTALLED ON SHIPPING STANDS (CFM56-5B ENGINE SERIES)),COMPLETE,T00C0B0Q,ESN-645628-INCOMING-FROM-CC-BFA-FOR-SALE-05-JUN-2017,IN WORK,OFFW_ENG
CC-BFJ,LIM/LINE,R2HHLN0064LYW,PROPEN,NORMAL,4950581-1,T008AMPM,IH-A320FAM-49-A2478-SVC(JIC) (REMOVAL/INSTALLATION OF THE IGNITER ELECTRICAL LEAD),ACTV,T00CBPEH,WP-LM-CC-BFJ09AUG17-01-AVIO,IN WORK,LINE
CC-BFJ,LIM/LINE,R2HHLN007RYBA,PROPEN,NORMAL,SB3-002-016-03,T00CBKNZ,MOC# 261315 ARM REST PROTECTOR DAMAGE CAPTAIN RH,ACTV,T00CBPEH,WP-LM-CC-BFJ09AUG17-01-AVIO,IN WORK,LINE
CC-BFJ,LIM/LINE,R2HHLN007R1HB,PROPEN,NORMAL,822-1287-120,T00CA27A,[MOC REQUEST] AIRMAN WEB SHOWS COM VHF 3 DATA FAULT,ACTV,T00CBPEH,WP-LM-CC-BFJ09AUG17-01-AVIO,IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007RMT0,PROPEN,NORMAL,ACCU-COOL 342,T00C1SMM,[MOC REQUEST] AHM INTEGRATED CLG SYSTEM,ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007M4V0,PROPEN,NORMAL,ACCU-COOL 342,T00C1SMM,[MOC REQUEST] AHM INTEGRATED CLG SYSTEM,ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007M4V5,PROPEN,NORMAL,ACCU-COOL 342,T00C1SMM,[MOC REQUEST] AHM INTEGRATED CLG SYSTEM,ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007R1YE,PROPEN,NORMAL,BMS3-38,T00CA2SC,[MOC REQUEST] AHM INTEGRATED CLG RECIRC AIR,ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007RS0T,PROPEN,NORMAL,ACCU-COOL 342,T00CA2SC,[MOC REQUEST] AHM INTEGRATED CLG RECIRC AIR,ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007RJRK,PROPEN,NORMAL,ACCU-COOL 342,T00CA2SC,[MOC REQUEST] AHM INTEGRATED CLG RECIRC AIR,ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007S19Z,PROPEN,NORMAL,FW75551,T00BU457,MD-T-1000-72-A5436(JIC) (TRENT 1000 INTERMEDIATE AND HIGH PRESSURE COMPRESSOR CYCLEAN WASH METHOD (WATER ONLY)),ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007R1XU,PROPEN,NORMAL,ACCU-COOL 342,T00CA2SC,[MOC REQUEST] AHM INTEGRATED CLG RECIRC AIR,ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGE,SCL/LH,R2HHLN007M4VD,PROPEN,NORMAL,MIL-PRF-27617 TYPE III,T00C1SMM,[MOC REQUEST] AHM INTEGRATED CLG SYSTEM,ACTV,T00CBM8Q,WP-LM-CC-BGE10AUG17-"MOC#260725 / T-0",IN WORK,LINE
CC-BGH,SCL/LH,R2HHLN007PCC0,PROPEN,NORMAL,FW75551,T00BQK00,MD-T-1000-72-A5436(JIC) (TRENT 1000 INTERMEDIATE AND HIGH PRESSURE COMPRESSOR CYCLEAN WASH METHOD (WATER ONLY)),ACTV,T00CBPMN,WP-LM-CC-BGH10AUG17-01,IN WORK,LINE
CC-BGH,SCL/LH,R2HHLN007QE8J,PROPEN,NORMAL,474666-1,T00C8RT0,[MOC REQUEST] AHM DET FIRE 4B ENG L,ACTV,T00CBPMN,WP-LM-CC-BGH10AUG17-01,IN WORK,LINE
CC-BGK,SCL/LH,R2HHLN007RZLQ,PROPEN,NORMAL,64300-210,T00AHMV1,IH-B787-23-A5161 PART 2 (JIC) (COMMUNICATIONS - Flight Interphone System - Flight Compartment Hand Held Microphones Installation and Headsets Replacement),PAUSE,T00CB4R5,WP-LM-CC-BGK10AUG17-01,IN WORK,LINE
CC-BGK,SCL/LH,R2HHLN007S0ZF,PROPEN,NORMAL,ATBB126001A0005,T00C9A1F,HIT LIST HI 2.0 B787-9 N2 REQ: SURFACE OF NURSERY TABLE EXTERIOR IN LAV 3F-2LC BROKEN,ACTV,T00CB4R5,WP-LM-CC-BGK10AUG17-01,IN WORK,LINE
CC-BGM,SCL/LH,R2HHLN007RPT9,PROPEN,NORMAL,53065-05,T00CBLT3,MOC# 261342 STATUS MSG HYD PUMP DEPRESS PRIMARY LEFT.,ACTV,T00CBKXA,WP-LM-CC-BGM10AUG17-01,IN WORK,LINE
CC-CXC,LIM/LINE,R2HHLN007RC6Y,PROPEN,NORMAL,BMS5-25 TYPE II, GRADE 1,T00CARU0,MOC 260887 G.I LH No.2 WINDOW SEAL WITH KINKED DAMAGE,PAUSE,T00CB8TU,WP-LM-CC-CXC10AUG17-01,IN WORK,LINE
CC-CXC,LIM/LINE,R2HHLN007RC6Q,PROPEN,NORMAL,A50126,T00CARU0,MOC 260887 G.I LH No.2 WINDOW SEAL WITH KINKED DAMAGE,PAUSE,T00CB8TU,WP-LM-CC-CXC10AUG17-01,IN WORK,LINE
CC-CXC,LIM/LINE,R2HHLN007RC6P,PROPEN,NORMAL,A02315,T00CARU0,MOC 260887 G.I LH No.2 WINDOW SEAL WITH KINKED DAMAGE,PAUSE,T00CB8TU,WP-LM-CC-CXC10AUG17-01,IN WORK,LINE
CC-CXC,LIM/LINE,R2HHLN007RC8L,PROPEN,NORMAL,BMS5-25 TYPE II, GRADE 1,T00CARUS,MOC 260888 RH No.2 WINDOW SEAL WITH KINKED AND SEALANT DAMAGE,PAUSE,T00CB8TU,WP-LM-CC-CXC10AUG17-01,IN WORK,LINE
CC-CXC,LIM/LINE,R2HHLN007RC7M,PROPEN,NORMAL,A50126,T00CARUS,MOC 260888 RH No.2 WINDOW SEAL WITH KINKED AND SEALANT DAMAGE,PAUSE,T00CB8TU,WP-LM-CC-CXC10AUG17-01,IN WORK,LINE
CC-CXC,LIM/LINE,R2HHLN007S12P,PROPEN,NORMAL,10P4-2NF,T00CARUS,MOC 260888 RH No.2 WINDOW SEAL WITH KINKED AND SEALANT DAMAGE,PAUSE,T00CB8TU,WP-LM-CC-CXC10AUG17-01,IN WORK,LINE
CC-CXC,LIM/LINE,R2HHLN007RLTQ,PRONORDER,NORMAL,0FL1000A12G01,T00CATK2,MOC 260904 RIGHT CENTRAL LAVATORY WITH NO LIGHT,IN WORK,T00CB8TU,WP-LM-CC-CXC10AUG17-01,IN WORK,LINE
CC-CXF,LIM/LINE,R2HHLN007LTG0,PROPEN,NORMAL,LA-17-022,T00C0ZAJ,IH-B767-11-A7353(REQ) (NEW DECAL IFE INSTALLATION),ACTV,T00CB8U0,WP-LM-CC-CXF10AUG17-01,IN WORK,LINE
CC-CXF,LIM/LINE,R2HHLN007LTG5,PROPEN,NORMAL,LA-17-021,T00C0ZAJ,IH-B767-11-A7353(REQ) (NEW DECAL IFE INSTALLATION),ACTV,T00CB8U0,WP-LM-CC-CXF10AUG17-01,IN WORK,LINE
CC-CXF,LIM/LINE,R2HHLN007LTGC,PROPEN,NORMAL,LA-17-020,T00C0ZAJ,IH-B767-11-A7353(REQ) (NEW DECAL IFE INSTALLATION),ACTV,T00CB8U0,WP-LM-CC-CXF10AUG17-01,IN WORK,LINE
CC-CZZ,MIA/LINE,R2HHLN007QMNN,PROPEN,NORMAL,M83723/60-208AN,T00C9AT6,26-010-00-01-OP(JIC) (CARGO FIRE EXTINGUISHING ARMED SWITCHES),ACTV,T00CBXCC,WP-LM-CZZ 10AUG2017-01,IN WORK,LINE
LV-BTM,LIM/LINE,R2HHLN007NJEF,PROPEN,NORMAL,ASNB70720,T00B2YN7,AD-A320FAM-53-A5439(JIC) (FUSELAGE - CENTER FUSELAGE - INSPECT MLG DOOR HINGE FITTING ON KEEL BEAM),ACTV,T00C88HU,WP-LM-LV-BTM10AUG17-AD PORTALON,IN WORK,LINE
LV-BTM,LIM/LINE,R2HHLN007NJE9,PROPEN,NORMAL,04SAB2,T00B2YPE,AD-A320FAM-53-A5438(JIC) (FUSELAGE - CENTER FUSELAGE / MLG DOOR ACTUATOR FITTING - INSPECTION),IN WORK,T00C88HU,WP-LM-LV-BTM10AUG17-AD PORTALON,IN WORK,LINE
LV-BTM,AEP/LINE,R2HHLN007R1R5,PROPEN,NORMAL,0MP4261-1,T00CA2KG,ING REQUEST HIGH REPETITIVE - (CAMPAÑA) -  SPR 2421 POS#1 (REEMPLAZO DE HALF-COUPLINGS DE IDG POS#1),ACTV,T00C88HU,WP-LM-LV-BTM10AUG17-AD PORTALON,IN WORK,LINE
LV-BTM,AEP/LINE,R2HHLN007R1R4,PROPEN,NORMAL,0MP2506-9,T00CA2KG,ING REQUEST HIGH REPETITIVE - (CAMPAÑA) -  SPR 2421 POS#1 (REEMPLAZO DE HALF-COUPLINGS DE IDG POS#1),ACTV,T00C88HU,WP-LM-LV-BTM10AUG17-AD PORTALON,IN WORK,LINE
LV-BTM,AEP/LINE,R2HHLN007R1T5,PROPEN,NORMAL,0MP4261-1,T00CA2LC,ING REQUEST HIGH REPETITIVE - (CAMPAÑA) - SPR 2421 POS#2 (REEMPLAZO DE HALF-COUPLINGS DE IDG POS#2),ACTV,T00C88HU,WP-LM-LV-BTM10AUG17-AD PORTALON,IN WORK,LINE
LV-BTM,AEP/LINE,R2HHLN007R1T8,PROPEN,NORMAL,0MP2506-9,T00CA2LC,ING REQUEST HIGH REPETITIVE - (CAMPAÑA) - SPR 2421 POS#2 (REEMPLAZO DE HALF-COUPLINGS DE IDG POS#2),ACTV,T00C88HU,WP-LM-LV-BTM10AUG17-AD PORTALON,IN WORK,LINE
LV-BTM,LIM/LINE,R2HHLN007NJEE,PROPEN,NORMAL,MC-238 CLASS A,T00B2YN7,AD-A320FAM-53-A5439(JIC) (FUSELAGE - CENTER FUSELAGE - INSPECT MLG DOOR HINGE FITTING ON KEEL BEAM),ACTV,T00C88HU,WP-LM-LV-BTM10AUG17-AD PORTALON,IN WORK,LINE
N532LA,MIA/LINE,R2HHLN007QMC1,PROPEN,NORMAL,6-0750-03-001,T00C9AP3,IH-53-0583-03(JIC-MODIFICATION) (FLIGHT KIT BOX INSTALLATION),ACTV,T00CB7BY,WP-LM-N532LA MATRICULACION,IN WORK,LINE
N532LA,MIA/LINE,R2HHLN007QMC7,PROPEN,NORMAL,6-0750-03-002,T00C9AP3,IH-53-0583-03(JIC-MODIFICATION) (FLIGHT KIT BOX INSTALLATION),ACTV,T00CB7BY,WP-LM-N532LA MATRICULACION,IN WORK,LINE
N532LA,MIA/LINE,R2HHLN007QMCB,PROPEN,NORMAL,25080001-GEMOD,T00C9ANB,IH-25-4299-03-PARTIIA(JIC-MODIFICATION) (B-767 F, CREW REST - REMOVAL / INSTALLATION),ACTV,T00CB7BY,WP-LM-N532LA MATRICULACION,IN WORK,LINE
N532LA,MIA/MT,R2HHLN007QKUK,PROPEN,NORMAL,TF1075,T00C96RB,MD-CF6-80C2-72-A3488 (JIC) (MID OUTER LINER INSPECTION),ACTV,T00CCC0N,ESN-706176-OUTGOING-TO-REPAIR-STATION-GE-CELMA-10-08-17,IN WORK,SHOP
N532LA,MIA/MT,R2HHLN007QKUL,PROPEN,NORMAL,MOLYKOTE-TYPE-G-N,T00C96RB,MD-CF6-80C2-72-A3488 (JIC) (MID OUTER LINER INSPECTION),ACTV,T00CCC0N,ESN-706176-OUTGOING-TO-REPAIR-STATION-GE-CELMA-10-08-17,IN WORK,SHOP
N532LA,MIA/MT,R2HHLN007QKUM,PROPEN,NORMAL,TF3051,T00C96RB,MD-CF6-80C2-72-A3488 (JIC) (MID OUTER LINER INSPECTION),ACTV,T00CCC0N,ESN-706176-OUTGOING-TO-REPAIR-STATION-GE-CELMA-10-08-17,IN WORK,SHOP
